en,ro
He came at about two o'clock.,El a venit aproximativ pe la două.
I need to rinse my mouth.,Trebuie să-mi clătesc gura.
Tom should know better.,Tom ar trebui să știe mai bine.
Where do all of you live?,Unde locuiți voi toți?
They refused to fight.,Ei au refuzat să lupte.
My grandma injured her leg in a fall.,Bunica mea și-a rănit piciorul căzând.
When will the Japanese course start?,Când va începe cursul de japoneză?
The owners brought in a hatchet man to fire all the union sympathizers.,Proprietarii au adus un măcelar ca să-i concedieze pe toţi simpatizanţii sindicatului.
The exhibition will be open for another month.,Expoziția este deschisă încă o lună.
How can you be so stupid?,Cum poți fi atât de prost?
I can carry you in my arms.,Pot să te duc în brațe.
I've been watching her.,Am urmărit-o.
I can't stand this cold anymore.,Nu mai suport frigul ăsta.
Show me how.,Arată-mi cum.
Tom shouldn't be so greedy.,Tom nu ar trebui să fie așa de lacom.
Do you eat well?,Te hrănești cum trebuie?
Do you like New York?,Îți place New York-ul?
Why don't you eat vegetables?,De ce nu mâncați legume?
Tom could scarcely breathe.,Tom abia putea să respire.
He was amazed at his foolishness.,A fost uimit de prostia sa.
Who built it?,Cine l-a construit?
"Today the teacher chose ""Chinese culture"" as a topic.","Astăzi profesorul a ales ca subiect ""cultura chinezească""."
What is your destination?,Care este destinația ta?
Do you speak Latvian?,Vorbeşti letona?
I despise linguistic homogeneity.,Disprețuiesc omogenitatea lingvistică.
His derisive laughter made me think that I was wrong.,Râsul lui batjocoritor m-a făcut să cred că m-am înșelat.
A water shortage causes a lot of inconvenience.,Lipsa de apă provoacă multe inconveniente.
K-cups have a large environmental impact.,Paharele de plastic au un impact mare asupra mediului.
Some of the tariffs were as high as sixty percent.,Unele dintre taxe ajungeau și la 60%.
Do you have any children?,Aveți copii?
She lives a few blocks away from here.,Locuiește la câteva blocuri distanță de aici.
The tribe wasn't delighted about the advent of the peacemaker.,Tribul nu a fost încântat de venirea pacificatorului.
She wanted desperately to get her vengeance.,Vroia cu disperare sa se răzbune.
Come with me.,Vino cu mine.
What kind of music?,Ce gen de muzică?
He was coerced into helping the thieves.,El a fost forțat să-i ajute pe hoți.
I asked Tom where I should park my car.,L-am întrebat pe Tom unde mi-aș putea parca mașina.
What you say now isn't consistent with what you said before.,Ceea ce spuneți acum nu este în concordanță cu ceea ce ați spus mai devreme.
"""When did he die?"" ""Not very long ago.""","""Când a murit?"" ""Nu cu mult timp în urmă."""
He has consistently endeavored to help the poor.,El s-a străduit în mod constant să-i ajute pe cei săraci.
Throw the dice.,Dă cu zarul!
"If I'd known you were ill, I would've visited you in hospital.","Dacă aș fi știut că ești bolnav, te-aș fi vizitat în spital."
What's that thing supposed to do?,Pentru ce este destinat acel lucru?
We seldom have guests.,Rareori avem oaspeți.
You were right.,Aveai dreptate.
Holmes went out of the room without being noticed by anyone.,Holmes a ieşit din cameră fără să fie observat de nimeni.
"""Have you finished?"" ""On the contrary, I have not even begun yet.""","- Ai terminat? - Dimpotrivă, nici n-am început încă."
I am proud to be a part of this project.,Sunt mândru să fac parte din acest proiect.
There have been a lot of complaints about the way Tom behaves.,Au fost multe reclamații legate de felul în care Tom se poartă.
My German friend's name is Hans.,Numele prietenului meu german este Hans.
"By and large, your idea is a good one.","În ansamblu, ideea ta este una bună."
I eat fruit and drink water.,Mănânc fructe şi beau apă.
Where do you live?,Unde locuiești?
